stock_id,超大单,大单,中单,小单
SH600594,3,11,1,-2
SH600595,0,-1,3,-3
SH600597,0,4,1,2
SH600598,3,8,-2,-2
SH600599,0,3,5,5
SH600600,-2,-4,-1,-2
SH600601,-1,4,5,1
SH600603,-2,-1,7,1
SH600604,0,4,1,2
SH600605,0,-1,0,-2
SH600606,4,7,0,0
SH600608,1,-2,5,3
SH600610,-1,-4,-4,-2
SH600611,0,7,17,1
SH600612,0,3,3,0
SH600613,0,2,3,4
SH600614,1,-7,2,1
SH600615,0,4,15,8
SH600616,0,-4,-6,1
SH600617,0,1,9,7
SH600618,0,-1,5,3
SH600619,0,-1,-1,1
SH600620,1,0,3,7
SH600621,1,6,2,-2
SH600622,1,1,6,1
SH600623,0,2,-4,-1
SH600624,0,4,-11,0
SH600626,2,-2,-3,-4
SH600628,0,3,6,-2
SH600629,1,1,7,-2
SH600630,0,0,4,1
SH600633,-2,-2,0,3
SH600634,-1,-4,0,2
SH600635,2,7,2,0
SH600637,4,5,12,0
SH600638,0,-2,-10,3
SH600639,0,-1,-1,1
SH600640,1,5,3,-2
SH600641,0,-5,3,1
SH600642,2,-3,-5,1
SH600643,5,-2,-4,-2
SH600644,1,4,-5,1
SH600647,0,3,6,-4
SH600648,1,3,-2,5
SH600649,0,0,0,0
SH600650,0,1,4,-2
SH600651,2,0,3,-2
SH600652,3,6,2,0
SH600653,0,-2,0,3
SH600658,3,-3,-5,2
SH600660,0,-1,-3,1
SH600661,0,6,7,-4
SH600662,1,3,0,-1
SH600663,-1,4,0,-2
SH600664,4,-4,3,0
SH600665,0,-5,-4,2
SH600666,1,-8,-2,0
SH600667,0,-7,-10,-4
SH600668,0,2,1,4
SH600674,-1,-8,-3,5
SH600675,0,2,5,0
SH600676,0,10,2,-1
SH600677,0,-3,-3,3
SH600678,-1,-2,-4,2
SH600679,0,-10,-2,-1
SH600680,0,0,0,0
SH600682,1,-1,8,-1
SH600683,3,1,0,0
SH600684,0,-5,-2,-2
SH600685,6,-4,-5,0
SH600686,4,-3,-4,4
SH600687,-1,-6,-8,0
SH600688,1,-5,-1,0
SH600689,0,2,-7,2
SH600690,-9,-7,1,0
SH600691,2,3,-2,2
SH600692,1,1,-2,1
SH600693,-2,0,-4,1
SH600694,-1,4,3,1
SH600695,-1,-4,-6,-6
SH600696,-2,-8,-5,0
SH600697,0,1,0,4
SH600698,-2,4,1,0
SH600699,6,-2,1,0
SH600701,3,8,-1,-1
SH600702,-3,-4,-1,-3
SH600703,-2,3,0,0
SH600704,2,3,5,-1
SH600705,0,-8,-2,-1
SH600706,0,-7,-5,-1
SH600707,1,4,-4,-4
SH600708,2,3,7,1
SH600711,-3,9,-2,-1
SH600712,0,-1,-6,5
SH600713,0,3,4,0
